time,temperature_2m_f,relative_humidity_2m_pct,precipitation_inch,dew_point_2m_f,apparent_temperature_f,rain_inch,snowfall_inch,snow_depth_ft,cloud_cover_pct,wind_speed_10m_mph,wind_speed_100m_mph,wind_direction_10m_deg,wind_direction_100m_deg,wind_gusts_10m_mph
2025-10-12T00:00,56.5,78,0,49.8,53.6,0,0,0,0,6.8,12.7,102,102,15.4
2025-10-12T01:00,54.1,81,0,48.5,50.7,0,0,0,0,7.1,12.3,107,107,13.9
2025-10-12T02:00,53,86,0,48.7,49.8,0,0,0,0,6.8,11.8,115,115,14.3
2025-10-12T03:00,52.2,88,0,48.8,49.2,0,0,0,0,6.3,11,117,117,14.1
2025-10-12T04:00,51.6,90,0,48.7,48.9,0,0,0,0,5.7,10.2,121,119,13
2025-10-12T05:00,51.3,91,0,48.7,48.9,0,0,0,0,4.8,8.9,124,123,11.6
2025-10-12T06:00,50.8,92,0,48.6,48.5,0,0,0,0,4.7,8.9,130,127,10.1
2025-10-12T07:00,51,90,0,48.2,48.5,0,0,0,0,4.8,8.6,144,142,9.6
2025-10-12T08:00,51.2,87,0,47.4,48.7,0,0,0,0,4.2,7.5,143,142,9.8
2025-10-12T09:00,53.2,80,0,47.1,50.8,0,0,0,0,3.9,5.8,139,137,11
2025-10-12T10:00,55.6,75,0,47.7,53.3,0,0,0,0,3.9,5.6,125,127,12.3
2025-10-12T11:00,58.1,69,0,48,55.8,0,0,0,0,4.2,5.8,115,120,13.6
2025-10-12T12:00,60.4,66,0,48.7,58.8,0,0,0,1,4.7,6.5,109,117,14.8
2025-10-12T13:00,62.9,63,0,49.9,61.5,0,0,0,12,5.9,8.1,102,110,16.6
2025-10-12T14:00,64.2,59,0,49.4,62.6,0,0,0,59,5.6,7.5,93,101,17
2025-10-12T15:00,64.4,58,0,49.5,61.5,0,0,0,58,6.5,8.8,89,94,17.7
2025-10-12T16:00,64.1,59,0,49.6,61.3,0,0,0,95,6.6,9.2,87,90,17.9
2025-10-12T17:00,63,64,0,50.6,60,0,0,0,78,7.4,11.1,84,86,18.1
2025-10-12T18:00,61.9,72,0,52.6,60.2,0,0,0,11,5.8,11.7,79,85,17.4
2025-10-12T19:00,62.2,72,0,53.1,60.2,0,0,0,14,7.1,13.9,95,99,11.6
2025-10-12T20:00,62.5,66,0,51.1,59.5,0,0,0,9,7.9,15.2,117,120,15
2025-10-12T21:00,62.2,66,0,50.5,58.7,0,0,0,15,8.5,16.2,118,120,17.4
2025-10-12T22:00,61.3,67,0,50.5,57.9,0,0,0,23,8.6,16.3,132,133,17
2025-10-12T23:00,60.4,67,0,49.4,57.2,0,0,0,0,7.2,14.7,139,140,17
2024-10-13T00:00,58.4,92,0.016,55.9,58.1,0.016,0,0,74,5.1,9.7,119,123,15
2024-10-13T01:00,57.7,95,0,56.2,58.4,0,0,0,86,3.1,2.4,354,34,6.9
2024-10-13T02:00,58.6,93,0,56.7,57.2,0,0,0,100,8.4,12.7,360,5,11.9
2024-10-13T03:00,59,93,0,56.8,57.8,0,0,0,100,8.2,12.6,13,18,12.1
2024-10-13T04:00,59.1,91,0,56.4,57.3,0,0,0,100,9.2,13.9,13,15,13
2024-10-13T05:00,58.7,91,0,56,56.6,0,0,0,99,9.7,14.6,9,11,14.1
2024-10-13T06:00,58.7,90,0,55.9,56.9,0,0,0,100,8.8,13.1,9,12,13.9
2024-10-13T07:00,58.4,91,0,55.8,57.1,0,0,0,75,7.3,10.9,3,8,12.8
2024-10-13T08:00,58.7,88,0,55,57.2,0,0,0,39,7.5,10,341,345,10.7
2024-10-13T09:00,58.7,88,0,55.1,56.8,0,0,0,100,8.3,9.8,316,317,13.2
2024-10-13T10:00,58.9,87,0.004,55,56.5,0.004,0,0,100,9.5,11.3,294,293,15.2
2024-10-13T11:00,59.6,83,0.004,54.4,56.2,0.004,0,0,28,11.3,14.1,279,280,17.4
2024-10-13T12:00,61.9,73,0.004,53.2,57,0.004,0,0,20,13.8,17,276,276,21.7
2024-10-13T13:00,64.6,55,0,47.9,58.2,0,0,0,84,15.3,19.4,275,275,23.9
2024-10-13T14:00,65.2,50,0,46,55.9,0,0,0,100,19.6,25.2,282,282,28.2
2024-10-13T15:00,62.3,56,0.004,46.3,51.7,0.004,0,0,97,22.8,30.7,290,291,33.3
2024-10-13T16:00,59.8,52,0,42.1,48,0,0,0,62,23.2,31.3,303,303,35.8
2024-10-13T17:00,58.1,53,0,41,46.3,0,0,0,19,22.8,30.5,303,303,34.2
2024-10-13T18:00,56.4,52,0,39.2,45.7,0,0,0,11,19.2,28.2,299,299,32.7
2024-10-13T19:00,54.1,55,0,38.4,42.6,0,0,0,2,20.8,30.7,303,305,30.2
2024-10-13T20:00,53.1,55,0,37.3,41.9,0,0,0,8,19.4,28.3,293,295,28.4
2024-10-13T21:00,51.8,58,0,37.3,41.3,0,0,0,100,18,26.6,290,292,27.7
2024-10-13T22:00,51.6,59,0,37.7,40.3,0,0,0,100,20,27.9,299,300,29.1
2024-10-13T23:00,50.9,63,0,38.8,39.1,0,0,0,91,21.8,29.9,306,307,32
2023-10-08T00:00,45.3,69,0,35.9,37.6,0,0,0,91,10.8,19,294,304,15.2
2023-10-08T01:00,45.1,71,0,36.1,37.4,0,0,0,96,10.9,19.1,296,306,15.7
2023-10-08T02:00,44.6,73,0,36.5,37.1,0,0,0,61,10.4,18.2,293,303,15.4
2023-10-08T03:00,43.8,75,0,36.5,36.3,0,0,0,100,10.4,17.8,289,298,14.8
2023-10-08T04:00,44.2,79,0,38,37.4,0,0,0,100,9.5,17.4,289,302,14.5
2023-10-08T05:00,45,78,0,38.6,38.4,0,0,0,100,9.1,15.9,292,304,13.2
2023-10-08T06:00,45.4,75,0,38,38.6,0,0,0,100,9.6,15.4,288,298,13.4
2023-10-08T07:00,46,76,0,39,39,0,0,0,100,10.5,17.1,282,290,14.3
2023-10-08T08:00,46.4,76,0,39.1,39.5,0,0,0,100,10.1,16.8,284,291,15.2
2023-10-08T09:00,48.6,70,0,39.4,41.5,0,0,0,95,10.7,13.9,293,296,16.3
2023-10-08T10:00,50.4,64,0,38.8,43.6,0,0,0,100,9.9,11.9,303,304,16.3
2023-10-08T11:00,51.2,59,0,37.1,44.5,0,0,0,68,8.8,10.5,302,304,15.9
2023-10-08T12:00,53.3,53,0,36.8,46.8,0,0,0,100,8.2,9.8,311,311,15.2
2023-10-08T13:00,54,50,0,35.5,47.8,0,0,0,100,6.8,8,308,308,15
2023-10-08T14:00,53.9,49,0,35.2,48,0,0,0,100,6.2,7.1,296,294,13
2023-10-08T15:00,53.3,51,0,35.5,47,0,0,0,100,7.3,8.5,282,284,12.1
2023-10-08T16:00,52.4,53,0,36,45.8,0,0,0,98,8.1,9.5,278,279,12.3
2023-10-08T17:00,52.4,53,0,35.8,45.5,0,0,0,100,8.8,10.2,294,296,12.8
2023-10-08T18:00,52,59,0,38.3,45.7,0,0,0,100,8.3,11.5,301,303,12.8
2023-10-08T19:00,51.8,58,0,37.3,46.5,0,0,0,94,5.7,8.4,296,302,12.3
2023-10-08T20:00,51,64,0,39.3,46.2,0,0,0,100,5.3,7.4,285,295,7.8
2023-10-08T21:00,50.5,70,0,40.9,45.6,0,0,0,73,6.2,9.2,283,288,8.3
2023-10-08T22:00,48.4,76,0,41,43.6,0,0,0,22,6.2,9.9,300,308,8.3
2023-10-08T23:00,46.1,82,0,40.9,41.2,0,0,0,3,6.5,10.5,308,320,8.3
2022-10-09T00:00,46.7,53,0,30.4,37.7,0,0,0,0,11.6,21.5,240,248,17
2022-10-09T01:00,45.9,55,0,30.5,36.8,0,0,0,0,11.7,21.9,239,247,16.8
2022-10-09T02:00,45.4,56,0,30.7,36.4,0,0,0,0,11.8,21.9,241,247,16.8
2022-10-09T03:00,45,57,0,30.7,35.9,0,0,0,62,11.9,21.8,242,248,16.8
2022-10-09T04:00,44.5,59,0,31.1,35.6,0,0,0,81,11.7,21.4,241,247,16.8
2022-10-09T05:00,44.2,61,0,31.5,35.3,0,0,0,0,12,21.5,241,246,17
2022-10-09T06:00,43.9,62,0,31.7,34.9,0,0,0,0,12,21.6,239,244,17.2
2022-10-09T07:00,45.1,62,0,32.7,36.3,0,0,0,0,12,21.7,239,245,17.2
2022-10-09T08:00,45.9,64,0,34.3,37.6,0,0,0,0,11.4,21.1,235,243,17
2022-10-09T09:00,49.8,55,0,34.4,41.2,0,0,0,0,12.2,18.5,234,238,19
2022-10-09T10:00,54.2,49,0,35.4,45.4,0,0,0,0,13.2,16.8,233,234,21.3
2022-10-09T11:00,58.3,44,0,36.6,49.6,0,0,0,0,13.3,16.4,230,231,21.9
2022-10-09T12:00,61.8,40,0,37.5,54.1,0,0,0,25,13.2,15.6,230,231,22.1
2022-10-09T13:00,64.5,37,0,37.7,57.1,0,0,0,67,13.2,15.7,228,230,22.1
2022-10-09T14:00,66.1,34,0,37,58.2,0,0,0,14,13.4,16.2,240,240,22.4
2022-10-09T15:00,67,32,0,36.2,58.6,0,0,0,0,12.9,15.7,247,247,22.1
2022-10-09T16:00,67,32,0,36.5,59.1,0,0,0,13,11.5,14.2,253,254,21.3
2022-10-09T17:00,66.2,34,0,37.1,58.9,0,0,0,3,10.3,13.2,259,260,18.8
2022-10-09T18:00,63.4,42,0,40.1,58.1,0,0,0,31,6.9,11.2,255,258,15.9
2022-10-09T19:00,60.6,51,0,42.4,56.4,0,0,0,100,5.4,8.4,251,259,9.2
2022-10-09T20:00,59.5,52,0,41.7,55,0,0,0,64,5.8,10.1,242,256,8.1
2022-10-09T21:00,57.7,57,0.004,42.4,53.4,0.004,0,0,100,5.6,10.1,236,252,7.4
2022-10-09T22:00,56.6,64,0,44.4,53.5,0,0,0,10,3.8,7.1,216,235,7.4
2022-10-09T23:00,53.5,70,0,44,49.9,0,0,0,7,4.8,7.6,202,214,5.8
2021-10-10T00:00,69.7,87,0.008,65.6,70.5,0.008,0,0,100,11.7,20,154,162,17.9
2021-10-10T01:00,70.1,87,0.004,66,70.5,0.004,0,0,100,13.3,22,158,165,18.8
2021-10-10T02:00,70.4,84,0,65.4,70.4,0,0,0,100,13.5,22.2,169,175,19.7
2021-10-10T03:00,70.6,82,0,64.8,69.8,0,0,0,100,14.6,23.6,169,175,20.6
2021-10-10T04:00,70.7,80,0,64.1,69.9,0,0,0,100,14.1,23.4,182,186,21.5
2021-10-10T05:00,70.4,79,0,63.6,69.3,0,0,0,100,14.3,23.3,184,188,20.4
2021-10-10T06:00,69.9,79,0,63.1,69.2,0,0,0,78,12.7,21.5,197,201,20.6
2021-10-10T07:00,69.2,83,0,63.7,67,0,0,0,88,16.7,26.9,188,191,18.1
2021-10-10T08:00,69.7,82,0,63.9,68.2,0,0,0,100,15.4,24.4,201,203,24.8
2021-10-10T09:00,70.3,80,0,64,67.5,0,0,0,100,18.5,27.8,199,201,26.8
2021-10-10T10:00,72.1,78,0,64.7,70.5,0,0,0,100,16.3,24.7,196,200,26.8
2021-10-10T11:00,72.4,76,0,64.6,70.8,0,0,0,100,16.5,24.2,201,202,24.2
2021-10-10T12:00,73.4,74,0,64.8,72.3,0,0,0,100,15.4,22.3,213,214,24.6
2021-10-10T13:00,74.8,70,0,64.5,73.7,0,0,0,96,15.2,21.2,223,222,22.6
2021-10-10T14:00,76.6,66,0,64.2,76,0,0,0,94,13.8,18.4,207,207,23
2021-10-10T15:00,78,64,0,64.8,77.6,0,0,0,90,13.7,18.7,195,197,21.5
2021-10-10T16:00,77.9,67,0,65.9,78,0,0,0,65,13.9,19.7,181,184,20.6
2021-10-10T17:00,77.6,69,0,66.7,78.4,0,0,0,27,13,19.9,177,180,20.1
2021-10-10T18:00,75.4,73,0,66.3,76.3,0,0,0,12,12.4,19.9,174,177,18.8
2021-10-10T19:00,72.4,81,0,66.2,74,0,0,0,10,10.6,17,97,100,17.2
2021-10-10T20:00,71.6,84,0,66.4,72.9,0,0,0,21,11.4,19.4,130,147,16.8
2021-10-10T21:00,73.9,65,0,61.3,70.9,0,0,0,30,16.4,27,186,189,23.3
2021-10-10T22:00,73.2,66,0,61.2,70.1,0,0,0,63,16.5,27,189,192,23.5
2021-10-10T23:00,73.5,71,0,63.5,70.6,0,0,0,89,18.2,28.7,194,196,26.2
2019-10-13T00:00,50.4,49,0,32.1,38.3,0,0,0,79,19.4,29.3,218,222,28.2
2019-10-13T01:00,48.6,56,0,33.4,40,0,0,0,74,11.7,18.6,238,236,28.2
2019-10-13T02:00,42.8,79,0,36.8,37.1,0,0,0,49,6.4,7.8,309,288,16.6
2019-10-13T03:00,40.2,88,0,37,34.8,0,0,0,73,5.7,7.2,312,272,8.7
2019-10-13T04:00,38.8,89,0,35.9,32.4,0,0,0,52,7.5,11.2,309,296,10.7
2019-10-13T05:00,38,86,0,34.3,32.1,0,0,0,0,5.9,11.6,261,268,10.5
2019-10-13T06:00,39,82,0,34,32,0,0,0,23,8.3,14.4,243,254,11.4
